Item,Arousal.Mean,Arousal.SD,Arousal.N,Arousal.Min,Arousal.Max,Arousal.Unknown,Concreteness.Mean,Concreteness.SD,Concreteness.N,Concreteness.Min,Concreteness.Max,Concreteness.Unknown,Embodiment.Mean,Embodiment.SD,Embodiment.N,Embodiment.Min,Embodiment.Max,Embodiment.Unknown,Imageability.Mean,Imageability.SD,Imageability.N,Imageability.Min,Imageability.Max,Imageability.Unknown,Valence.Mean,Valence.SD,Valence.N,Valence.Min,Valence.Max,Valence.Unknown
lapped,5.6,1.8,15,2,9,3,2.86,1.39,22,1,5,3,4,1.97,19,1,7,4,4.41,2.11,22,1,7,3,4.75,1.67,24,1,8,3
lapping,4.89,1.68,18,1,8,1,3.86,1.06,21,1,5,2,4.19,1.52,26,1,7,1,4.67,1.99,24,1,7,1,5.11,1.07,28,2,7,2
laud,6.75,1.71,4,5,9,16,2,1,3,1,3,20,2.2,0.84,5,1,3,22,2.6,0.89,5,2,4,20,5.56,1.51,9,4,9,22
launder,4.8,2.43,15,1,8,2,3.52,1.25,21,1,5,3,3.8,1.7,20,1,7,5,4.88,2.05,24,1,7,4,4.75,1.78,24,2,9,5
layering,4.28,1.53,18,1,7,NA,3.5,1.14,26,1,5,NA,3.71,2.1,21,1,7,NA,5,1.91,25,1,7,NA,5.23,0.94,30,4,9,NA
laze,2.75,1.84,16,1,8,4,3.3,1.22,20,1,5,5,5.35,1.56,23,2,7,7,4.8,1.99,20,1,7,6,5.52,1.94,25,2,9,5
leafed,4,1.51,8,1,5,12,3.09,1.04,11,1,5,12,2,1.26,11,1,4,16,2.54,1.81,13,1,7,12,5.36,0.63,14,5,7,17
leaning,4.25,2.05,20,1,9,NA,4.68,0.75,25,2,5,NA,5.88,1.83,24,1,7,NA,6.46,1.02,24,3,7,NA,5.31,1.28,29,3,9,NA
leaping,6.71,1.94,24,2,9,NA,4.76,0.44,29,4,5,NA,6.41,1.31,27,1,7,NA,6.21,1.6,28,1,7,NA,6.6,1.48,30,4,9,NA
leapt,8.05,1.31,19,5,9,NA,4.64,0.64,25,3,5,NA,6.22,1.62,23,1,7,NA,6.21,1.03,28,4,7,NA,6.41,1.15,27,5,9,NA
learned,5.35,1.85,23,1,9,NA,2.12,1.28,26,1,5,NA,3.72,1.95,25,1,7,NA,3.83,2.08,24,1,7,NA,7.81,1.17,31,5,9,NA
leaves,4.12,2.47,17,1,9,NA,3.8,1.26,25,1,5,NA,NA,NA,NA,NA,NA,NA,5.36,1.99,28,1,7,NA,4.14,2.08,29,1,9,NA
led,4.29,1.83,17,1,7,NA,3.5,1.18,24,1,5,NA,4.4,1.8,25,1,7,NA,4.36,1.66,28,1,7,NA,5.79,1.08,29,5,8,NA
legalize,5.52,2.21,23,1,9,NA,1.92,1.2,26,1,5,NA,2.36,1.47,25,1,6,NA,3,1.84,24,1,7,NA,6.1,1.27,31,4,9,NA
legislate,4.79,1.59,24,1,7,1,2.04,1.19,27,1,5,1,2.2,1.41,25,1,5,1,3.59,1.97,27,1,7,1,5.06,0.77,31,4,7,1
legitimize,4.52,2.04,21,1,9,NA,1.55,0.91,29,1,5,NA,1.75,1.17,28,1,4,NA,2,1.56,28,1,7,NA,6.33,1.51,33,4,9,NA
lengthen,4.53,1.98,19,1,8,NA,4.08,1.02,24,2,5,NA,3.52,2.29,21,1,7,NA,5.97,1.4,29,3,7,NA,5.45,0.78,29,4,7,NA
lessen,3.78,1.48,23,1,6,NA,2.23,1.14,26,1,5,NA,2.52,1.64,25,1,7,NA,3.12,2.21,24,1,7,NA,4.37,1.79,30,1,9,1
